product_id,title,description,tags,color,material,sizes,price,image_path,image_paths,source_url,store
prod_001,Jeans,Beautiful jeans perfect for any occasion.,"jeans, minimalist, bohemian",multi,mixed,"XS, S, M, L, XL",169,/Products_for_prototype/Wideleg_jeans.png,,,
prod_002,Black Bracelet,Beautiful black colored bracelet perfect for any occasion.,"black, bracelet, casual, vintage",black,mixed,One Size,59,/Products_for_prototype/Bracelet_black_white.png,,,
prod_003,Brown Top,Beautiful brown colored top perfect for any occasion.,"brown, top, chic, bohemian",brown,mixed,"XS, S, M, L, XL",38,/Products_for_prototype/Brown_set_top.png,,,
prod_004,Black Sunglasses,Beautiful black colored sunglasses perfect for any occasion.,"black, sunglasses, bohemian, chic",black,mixed,One Size,36,/Products_for_prototype/oval_black_sunglasses.png,,,
prod_005,Brown Clutch,Beautiful brown colored clutch perfect for any occasion.,"brown, clutch, chic, modern",brown,mixed,"XS, S, M, L, XL",105,/Products_for_prototype/Brown_clutch.png,,,
prod_006,Hat,Beautiful hat perfect for any occasion.,"hat, casual, vintage",multi,mixed,One Size,42,/Products_for_prototype/colorful_bucket_hat.png,,,
prod_007,Bag,Beautiful bag perfect for any occasion.,"bag, chic, bohemian",multi,mixed,"XS, S, M, L, XL",145,/Products_for_prototype/fruit_shoulder_bag.png,,,
prod_008,White Sunglasses,Beautiful white colored sunglasses perfect for any occasion.,"white, sunglasses, casual, vintage",white,mixed,One Size,97,/Products_for_prototype/white_sunglasses.png,,,
prod_009,Dress,Beautiful dress perfect for any occasion.,"dress, chic, modern",multi,mixed,"XS, S, M, L, XL",195,/Products_for_prototype/Embellished_mini_dress.png,,,
prod_010,Jeans,Beautiful jeans perfect for any occasion.,"jeans, casual, bohemian",multi,mixed,"XS, S, M, L, XL",121,/Products_for_prototype/Wide_boyfriend_jeans.png,,,
prod_011,Lace,Beautiful lace fabric fashion item perfect for any occasion.,"lace, chic, vintage",multi,lace,"XS, S, M, L, XL",140,/Products_for_prototype/lace_blouse.png,,,
prod_012,Brown Shorts,Beautiful brown colored shorts perfect for any occasion.,"brown, shorts, elegant, casual",brown,mixed,"XS, S, M, L, XL",120,/Products_for_prototype/Brown_set_shorts.png,,,
prod_013,Sandals,Beautiful sandals perfect for any occasion.,"sandals, elegant, minimalist",multi,mixed,"6, 7, 8, 9, 10, 11",115,/Products_for_prototype/open_toe_sandals.png,,,
